obj,sub,array3,ObjRotation,grasp,type,HandRotation,HandPosition,ObjPosition
obj15,sub4,"[[-0.72432682 -0.05228404  0.04539616]
 [-0.74963875 -0.05147138  0.04309716]]",[ 0.04009126  0.89230005 -0.44921749  0.01992379],grasp4,optimal0,[ 1.97290382  1.91011549  2.35087669  0.87699873],[-0.72080577 -0.05154039  0.02616653],[-0.74310849 -0.06392156  0.11564518]
obj15,sub4,"[[-0.71607542 -0.02794185 -0.00807318]
 [-0.73554424 -0.04765228 -0.03574027]]",[ 0.03446274  0.89706788 -0.4401617   0.01841755],grasp5,optimal0,[ 1.62579661  1.53169178  1.73568838  0.08651652],[-0.73711501 -0.07507573 -0.01891322],[-0.74302442 -0.06321951  0.11582251]
obj15,sub4,"[[-0.82273876 -0.11086392 -0.05556558]
 [-0.8001867  -0.09887198 -0.10437558]]",[ 0.47941381 -0.68297605  0.21455579  0.50761396],grasp6,optimal0,[ 1.2882918   1.27454924  1.18677355  0.01726824],[-0.82654377 -0.12921627 -0.09225065],[-0.74627262 -0.26591286 -0.08192207]
obj15,sub4,"[[-0.76745758 -0.05571376  0.52718603]
 [-0.7407401  -0.02287908  0.51994363]]",[ 0.76082849 -0.22462173  0.10470032  0.59976907],grasp7,optimal0,[ 1.43270215  1.23015352  1.19961078  0.12911735],[-0.76918088 -0.04893889  0.47927431],[-0.75488825 -0.11972601  0.37090788]
obj15,sub4,"[[-0.82173425 -0.17472457  0.33084797]
 [-0.78988058 -0.14087717  0.33965689]]",[ 0.83473907 -0.05832942 -0.04299797  0.5458567 ],grasp7,extreme0,[ 1.45480076  1.25096364  1.19114335  0.28523277],[-0.81759391 -0.14436436  0.31591725],[-0.80038111 -0.16479042  0.16190089]
obj15,sub4,"[[-0.85262893 -0.09637788  0.21489918]
 [-0.87676371 -0.14569209  0.29057207]]",[ 0.62369848 -0.2529541  -0.06557145  0.7366918 ],grasp8,optimal0,[ 1.62251905  1.65368557  0.02105536  0.01253481],[-0.86809047 -0.12739178  0.25375896],[-0.81986137 -0.15425169  0.15629647]
obj15,sub4,"[[-0.86981033 -0.13717477  0.21663419]
 [-0.85143545 -0.15036173  0.27376913]]",[ 0.62543531 -0.28267027 -0.08781639  0.72195323],grasp8,extreme0,[ 1.66090751  1.82298494  0.02047048  0.01051873],[-0.87618946 -0.16153742  0.2586967 ],[-0.82370832 -0.15362928  0.15402454]
obj15,sub4,"[[-0.8662166  -0.09602449  0.2063013 ]
 [-0.85042529 -0.10281459  0.2594405 ]]",[ 0.62945137 -0.28434993 -0.09265637  0.7171826 ],grasp8,extreme1,[ 2.33286754  1.62841897  0.02023897  0.01402497],[-0.88351279 -0.08748735  0.23082691],[-0.82411352 -0.15374323  0.15375701]
obj15,sub4,"[[-0.8965502  -0.14419029  0.25184385]
 [-0.90447406 -0.14290361  0.24247606]]",[ 0.64974041 -0.30819629 -0.13126985  0.68236403],grasp9,optimal0,[ 2.37708622  2.37616017  1.82588188  0.0087656 ],[-0.89445788 -0.11577897  0.27212069],[-0.8282538  -0.15391395  0.1506843 ]
obj15,sub5,"[[-0.84536167 -0.12505156 -0.02448746]
 [-0.83992376 -0.12367599  0.02525017]]",[ 0.71910047 -0.27372883 -0.61865971 -0.15883074],grasp6,optimal0,[ 1.09723134  1.04210262  1.34602485  0.0195473 ],[-0.82007499 -0.10355939 -0.0106193 ],[-0.67787634 -0.18836679 -0.02851651]
